Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review
1039,7/25/2008,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,4,149,100
1783,8/12/2008,Amazing Also,Manhattan,Apartment,100,Entire home/apt,10004,1,1,9,250,100
2339,8/20/2008,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90,Entire home/apt,10009,2,1,95,270,90
2339,8/20/2008,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95,Entire home/apt,10009,2,1,23,290,96
2571,8/27/2008,THE PUTNAM,Brooklyn,Apartment,95,Entire home/apt,11221,2,1,14,170,98
3227,9/26/2008,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85,Entire home/apt,10001,3,1,171,150,85
3647,10/14/2008,Conveniently Queens with Two Rooms,Queens,Apartment,90,Entire home/apt,11373,1,1,4,89,93
3647,10/14/2008,Quality Cozy Studio Next to Subway,Queens,Apartment,90,Entire home/apt,11373,1,1,16,95,94
3647,10/14/2008,Queens Quality Convenient Apartment,Queens,Apartment,100,Entire home/apt,11373,2,1,9,99,100
3867,10/29/2008,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90,Entire home/apt,10002,1,1,19,149,93
3867,10/29/2008,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80,Entire home/apt,10038,4,1,2,499,80
4267,11/12/2008,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85,Entire home/apt,10024,2,1,28,170,88
4488,11/21/2008,Sunny & Bright Harlem Home,Manhattan,Apartment,95,Entire home/apt,10027,3,1,6,125,97
4732,12/1/2008,A home in the heart of Park Slope,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,5,110,92
5871,12/31/2008,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90,Entire home/apt,11213,3,1,12,180,93
5871,12/31/2008,Bergen's Best!,Brooklyn,Apartment,95,Entire home/apt,11213,3,1,5,180,95
5926,1/2/2009,Charming Central Park Hideaway,Manhattan,Apartment,80,Entire home/apt,10026,1,1,23,143,82
5926,1/2/2009,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85,Entire home/apt,10027,2,1,28,230,89
5926,1/2/2009,Beautiful Apt with Park Views,Manhattan,Apartment,85,Entire home/apt,10030,5,1,40,350,86
5940,1/2/2009,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85,Entire home/apt,11368,2,1,47,135,86
7118,1/26/2009,PERFECT location! Contact me NOW!,Manhattan,Apartment,85,Entire home/apt,10036,1,1,14,200,87
7222,1/29/2009,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95,Entire home/apt,10003,2,1,42,175,95
7209,1/29/2009,Next to Empire State building,Manhattan,Apartment,100,Entire home/apt,10016,1,1,9,250,100
7230,1/30/2009,"Luxury Building, big 1BR - 90th",Manhattan,Apartment,95,Entire home/apt,10128,2,1,7,165,96
7323,2/2/2009,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85,Entire home/apt,11238,1,1,13,115,88
7299,2/2/2009,"Downtown calm, convenience & space",Manhattan,Apartment,95,Entire home/apt,10005,1,1,16,145,95
7322,2/2/2009,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85,Entire home/apt,10016,1,1,47,200,86
7386,2/3/2009,Quiet Slice of Manhattan,Manhattan,Apartment,90,Entire home/apt,10016,1,1,42,129,92
7414,2/4/2009,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80,Entire home/apt,11217,3,1,15,185,82
7414,2/4/2009,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85,Entire home/apt,11217,3,1,21,185,85
7414,2/4/2009,Skylight on Greene,Brooklyn,Apartment,75,Entire home/apt,11217,3,1,6,150,76
7498,2/6/2009,Your own studio+patio no roommates,Manhattan,Apartment,80,Entire home/apt,10002,1,1,1,80,80
7510,2/6/2009,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85,Entire home/apt,10010,1,1,8,190,89
7510,2/6/2009,Grande Super Large APT !!!,Manhattan,Apartment,80,Entire home/apt,10010,3,1,10,190,80
7510,2/6/2009,Great Apartment with PATIO!!,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,190,80
7510,2/6/2009,Super Large APT,Manhattan,Apartment,80,Entire home/apt,10010,2,1,29,175,80
7510,2/6/2009,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90,Entire home/apt,10011,2,1,29,190,93
7549,2/7/2009,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90,Entire home/apt,10002,1,1,112,140,94
7549,2/7/2009,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95,Entire home/apt,10002,1,1,4,140,95
7611,2/9/2009,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,51,135,95
7626,2/9/2009,L.E.S. Must See!!,Manhattan,Apartment,85,Entire home/apt,10002,1,1,156,100,86
7612,2/9/2009,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90,Entire home/apt,10023,1,1,29,145,91
7702,2/10/2009,Beautiful 1br on Upper West Side,Manhattan,Apartment,90,Entire home/apt,10025,1,1,30,135,94
7740,2/11/2009,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200,94
7999,2/16/2009,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165,100
7987,2/16/2009,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145,94
8057,2/17/2009,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225,89
8057,2/17/2009,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250,78
8057,2/17/2009,Ideal Charming Large W Village Apt!,Manhattan,Apartment,85,Entire home/apt,10014,3,1,32,250,85
8178,2/19/2009,Location! Location! Location!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,188,145,90
8178,2/19/2009,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,90,Entire home/apt,11215,3,1,221,149,92
